freq_hz,delta_db_raw,delta_db_smooth
1.435546875000000000e+03,-1.895082473754882812e+00,-1.590153098106384277e+00
1.441406250000000000e+03,-7.001571655273437500e-01,-1.516219735145568848e+00
1.447265625000000000e+03,-2.132301330566406250e-01,-1.446292877197265625e+00
1.453125000000000000e+03,0.000000000000000000e+00,-1.384941339492797852e+00
1.458984375000000000e+03,5.298976898193359375e-01,-1.335296034812927246e+00
1.464843750000000000e+03,1.649761199951171875e-01,-1.283186674118041992e+00
1.470703125000000000e+03,-1.410140991210937500e-01,-1.256467580795288086e+00
1.476562500000000000e+03,-3.325843811035156250e-01,-1.248532176017761230e+00
1.482421875000000000e+03,-7.922782897949218750e-01,-1.241751313209533691e+00
1.488281250000000000e+03,-9.216365814208984375e-01,-1.231306552886962891e+00
1.494140625000000000e+03,-1.315126419067382812e+00,-1.211069345474243164e+00
1.500000000000000000e+03,-1.657402038574218750e+00,-1.192142605781555176e+00
1.505859375000000000e+03,-1.836318969726562500e+00,-1.180600166320800781e+00
1.511718750000000000e+03,-1.807159423828125000e+00,-1.180409550666809082e+00
1.517578125000000000e+03,-1.550674438476562500e+00,-1.180063128471374512e+00
1.523437500000000000e+03,-2.029243469238281250e+00,-1.184279084205627441e+00
1.529296875000000000e+03,-1.586595535278320312e+00,-1.172798871994018555e+00
1.535156250000000000e+03,-1.529663085937500000e+00,-1.164720416069030762e+00
1.541015625000000000e+03,-1.804389953613281250e+00,-1.150248050689697266e+00
1.546875000000000000e+03,-2.230884552001953125e+00,-1.150676846504211426e+00
1.552734375000000000e+03,-1.918565750122070312e+00,-1.156209707260131836e+00
1.558593750000000000e+03,-1.070142745971679688e+00,-1.150028347969055176e+00
1.564453125000000000e+03,-8.747940063476562500e-01,-1.134674787521362305e+00
1.570312500000000000e+03,-9.983329772949218750e-01,-1.102489948272705078e+00
1.576171875000000000e+03,-1.183177947998046875e+00,-1.059828400611877441e+00
1.582031250000000000e+03,-1.059486389160156250e+00,-1.011757612228393555e+00
1.587890625000000000e+03,-1.438030242919921875e+00,-9.597395062446594238e-01
1.593750000000000000e+03,-1.482086181640625000e+00,-9.095075726509094238e-01
1.599609375000000000e+03,-1.005187988281250000e+00,-8.499511480331420898e-01
1.605468750000000000e+03,-8.228073120117187500e-01,-7.925927042961120605e-01
1.611328125000000000e+03,-3.422107696533203125e-01,-7.384847998619079590e-01
1.617187500000000000e+03,5.202865600585937500e-02,-6.946199536323547363e-01
1.623046875000000000e+03,2.224969863891601562e-01,-6.700372099876403809e-01
1.628906250000000000e+03,1.259918212890625000e-01,-6.618130207061767578e-01
1.634765625000000000e+03,-1.179084777832031250e-01,-6.700274348258972168e-01
1.640625000000000000e+03,-3.887062072753906250e-01,-6.663658022880554199e-01
1.646484375000000000e+03,-9.007472991943359375e-01,-6.482984423637390137e-01
1.652343750000000000e+03,-1.338079452514648438e+00,-5.968829989433288574e-01
1.658203125000000000e+03,-1.567386627197265625e+00,-5.406214594841003418e-01
1.664062500000000000e+03,-1.523540496826171875e+00,-4.724853634834289551e-01
1.669921875000000000e+03,-1.516864776611328125e+00,-3.900570869445800781e-01
1.675781250000000000e+03,-7.798175811767578125e-01,-3.110872805118560791e-01
1.681640625000000000e+03,-3.210449218750000000e-01,-2.221709042787551880e-01
1.687500000000000000e+03,3.220996856689453125e-01,-1.278907805681228638e-01
1.693359375000000000e+03,2.733001708984375000e-01,-3.742205724120140076e-02
1.699218750000000000e+03,3.461599349975585938e-01,5.041442811489105225e-02
1.705078125000000000e+03,5.755224227905273438e-01,1.291222125291824341e-01
1.710937500000000000e+03,8.936977386474609375e-01,1.955076605081558228e-01
1.716796875000000000e+03,8.622789382934570312e-01,2.515457272529602051e-01
1.722656250000000000e+03,7.517633438110351562e-01,3.173214793205261230e-01
1.728515625000000000e+03,1.024236679077148438e+00,3.861613273620605469e-01
1.734375000000000000e+03,6.036758422851562500e-01,4.427770674228668213e-01
1.740234375000000000e+03,7.764577865600585938e-01,5.041459202766418457e-01
1.746093750000000000e+03,6.703786849975585938e-01,5.752960443496704102e-01
1.751953125000000000e+03,7.462291717529296875e-01,6.378749608993530273e-01
1.757812500000000000e+03,9.408493041992187500e-01,6.878933906555175781e-01
1.763671875000000000e+03,4.676017761230468750e-01,7.424221038818359375e-01
1.769531250000000000e+03,4.425659179687500000e-01,8.174111843109130859e-01
1.775390625000000000e+03,2.992534637451171875e-01,8.921670317649841309e-01
1.781250000000000000e+03,1.381759643554687500e-01,9.655656218528747559e-01
1.787109375000000000e+03,5.340795516967773438e-01,1.024404168128967285e+00
1.792968750000000000e+03,7.282123565673828125e-01,1.087763905525207520e+00
1.798828125000000000e+03,1.140880584716796875e+00,1.139203310012817383e+00
1.804687500000000000e+03,1.207904815673828125e+00,1.190565109252929688e+00
1.810546875000000000e+03,1.541559219360351562e+00,1.245611906051635742e+00
1.816406250000000000e+03,1.318859100341796875e+00,1.302963733673095703e+00
1.822265625000000000e+03,1.125347137451171875e+00,1.369441032409667969e+00
1.828125000000000000e+03,1.213322639465332031e+00,1.440019011497497559e+00
1.833984375000000000e+03,1.049785614013671875e+00,1.511174440383911133e+00
1.839843750000000000e+03,1.462457656860351562e+00,1.577832341194152832e+00
1.845703125000000000e+03,1.410660743713378906e+00,1.639997839927673340e+00
1.851562500000000000e+03,1.777244567871093750e+00,1.691087841987609863e+00
1.857421875000000000e+03,1.506079673767089844e+00,1.723515748977661133e+00
1.863281250000000000e+03,1.998451232910156250e+00,1.738996863365173340e+00
1.869140625000000000e+03,1.957326889038085938e+00,1.737794518470764160e+00
1.875000000000000000e+03,2.175645828247070312e+00,1.724289655685424805e+00
1.880859375000000000e+03,2.371917724609375000e+00,1.697225451469421387e+00
1.886718750000000000e+03,1.919954299926757812e+00,1.670363068580627441e+00
1.892578125000000000e+03,1.709114074707031250e+00,1.649459123611450195e+00
1.898437500000000000e+03,1.586204528808593750e+00,1.638826012611389160e+00
1.904296875000000000e+03,1.685401916503906250e+00,1.624741196632385254e+00
1.910156250000000000e+03,1.794931411743164062e+00,1.609923005104064941e+00
1.916015625000000000e+03,2.069478988647460938e+00,1.599779844284057617e+00
1.921875000000000000e+03,2.405614852905273438e+00,1.613625526428222656e+00
1.927734375000000000e+03,1.966426849365234375e+00,1.624101877212524414e+00
1.933593750000000000e+03,2.049942970275878906e+00,1.629127383232116699e+00
1.939453125000000000e+03,2.100124359130859375e+00,1.632731914520263672e+00
1.945312500000000000e+03,2.265822410583496094e+00,1.620452880859375000e+00
1.951171875000000000e+03,1.807577133178710938e+00,1.604819774627685547e+00
1.957031250000000000e+03,1.825083732604980469e+00,1.574849605560302734e+00
1.962890625000000000e+03,1.816176414489746094e+00,1.548704743385314941e+00
1.968750000000000000e+03,1.707316398620605469e+00,1.533542990684509277e+00
1.974609375000000000e+03,1.420532226562500000e+00,1.509192228317260742e+00
1.980468750000000000e+03,1.507738113403320312e+00,1.483313322067260742e+00
1.986328125000000000e+03,1.317522048950195312e+00,1.454754829406738281e+00
1.992187500000000000e+03,1.670251846313476562e+00,1.427195906639099121e+00
1.998046875000000000e+03,1.421866416931152344e+00,1.416957736015319824e+00
2.003906250000000000e+03,1.401243209838867188e+00,1.413516640663146973e+00
2.009765625000000000e+03,1.091461181640625000e+00,1.421347498893737793e+00
2.015625000000000000e+03,1.125751495361328125e+00,1.429817318916320801e+00
2.021484375000000000e+03,9.593467712402343750e-01,1.447542071342468262e+00
2.027343750000000000e+03,7.845306396484375000e-01,1.460828423500061035e+00
2.033203125000000000e+03,8.071022033691406250e-01,1.468419075012207031e+00
2.039062500000000000e+03,8.109064102172851562e-01,1.473662137985229492e+00
2.044921875000000000e+03,7.890834808349609375e-01,1.479691624641418457e+00
