start_sample,end_sample,start_sec,end_sec,len_samples
58135288,58135587,1211.1518333333333,1211.1580625,299
58138791,58139163,1211.2248125,1211.2325625,372
58139302,58139617,1211.2354583333333,1211.2420208333333,315
58139796,58139959,1211.24575,1211.2491458333334,163
58139985,58140130,1211.2496875,1211.2527083333334,145
58140155,58140300,1211.2532291666666,1211.25625,145
58147734,58147879,1211.411125,1211.4141458333334,145
58158649,58158940,1211.6385208333334,1211.6445833333332,291
58160879,58161024,1211.6849791666666,1211.688,145
58161054,58161331,1211.688625,1211.6943958333334,277
58163390,58163536,1211.7372916666666,1211.7403333333334,146
58163729,58164010,1211.7443541666667,1211.7502083333334,281
58685418,58685564,1222.612875,1222.6159166666666,146
58685725,58685870,1222.6192708333333,1222.6222916666666,145
58962194,58962339,1228.3790416666666,1228.3820625,145
58985158,58985380,1228.8574583333334,1228.8620833333334,222
58990390,58990535,1228.9664583333333,1228.9694791666666,145
58991383,58991528,1228.9871458333334,1228.9901666666667,145
59199432,59199713,1233.3215,1233.3273541666667,281
59411436,59411581,1237.73825,1237.7412708333334,145
59434789,59434934,1238.2247708333334,1238.2277916666667,145
59435589,59435734,1238.2414375,1238.2444583333333,145
59475366,59475511,1239.070125,1239.0731458333332,145
59496287,59496664,1239.5059791666667,1239.5138333333334,377
59506918,59507251,1239.7274583333333,1239.7343958333333,333
59507480,59507663,1239.7391666666667,1239.7429791666666,183
59513016,59513236,1239.8545,1239.8590833333333,220
59513334,59513479,1239.861125,1239.8641458333334,145
59523211,59523411,1240.0668958333333,1240.0710625,200
59524232,59524378,1240.0881666666667,1240.0912083333333,146
59525413,59525558,1240.1127708333333,1240.1157916666666,145
59537772,59537917,1240.37025,1240.3732708333334,145
59549482,59549703,1240.6142083333334,1240.6188125,221
59550117,59550453,1240.6274375,1240.6344375,336
59550499,59550645,1240.6353958333334,1240.6384375,146
59552860,59553162,1240.6845833333334,1240.690875,302
59578030,59578290,1241.2089583333334,1241.214375,260
59580267,59580634,1241.2555625,1241.2632083333333,367
59587098,59587243,1241.397875,1241.4008958333334,145
59594883,59595216,1241.5600625,1241.567,333
59595261,59595627,1241.5679375,1241.5755625,366
59598150,59598295,1241.628125,1241.6311458333332,145
59624066,59624212,1242.1680416666666,1242.1710833333334,146
59627796,59627941,1242.24575,1242.2487708333333,145
59628274,59628610,1242.2557083333334,1242.2627083333334,336
59628994,59629140,1242.2707083333332,1242.27375,146
59631852,59631997,1242.33025,1242.3332708333332,145
59634585,59634730,1242.3871875,1242.3902083333332,145
59637520,59637665,1242.4483333333333,1242.4513541666668,145
59640644,59640789,1242.5134166666667,1242.5164375,145
59716665,59716810,1244.0971875,1244.1002083333333,145
59870273,59870418,1247.2973541666668,1247.300375,145
59874784,59874929,1247.3913333333333,1247.3943541666667,145
59877759,59878139,1247.4533125,1247.4612291666667,380
59912308,59912453,1248.1730833333334,1248.1761041666666,145
59913542,59913687,1248.1987916666667,1248.2018125,145
59919305,59919451,1248.3188541666666,1248.3218958333334,146
59938019,59938164,1248.7087291666667,1248.71175,145
59939041,59939186,1248.7300208333334,1248.7330416666666,145
59939445,59939783,1248.7384375,1248.7454791666667,338
59940073,59940218,1248.7515208333334,1248.7545416666667,145
59957298,59957444,1249.110375,1249.1134166666666,146
59957489,59957634,1249.1143541666668,1249.117375,145
59960957,59961292,1249.1866041666667,1249.1935833333334,335
59962280,59962425,1249.2141666666666,1249.2171875,145
59971182,59971366,1249.399625,1249.4034583333334,184
59971838,59972137,1249.4132916666667,1249.4195208333333,299
59987721,59987956,1249.7441875,1249.7490833333334,235
59988037,59988182,1249.7507708333333,1249.7537916666668,145
59988443,59988815,1249.7592291666667,1249.7669791666667,372
60034970,60035115,1250.7285416666666,1250.7315625,145
60090116,60090397,1251.8774166666667,1251.8832708333334,281
60112644,60112789,1252.34675,1252.3497708333334,145
60112863,60113121,1252.3513125,1252.3566875,258
